HDDSN,ENDDATE,STARTDATE,PROCID,MTYPE,MFGID,PFCODE,PFSUBCODE,HSATRIAL,HDDTRIAL,PARTID,PARTFLAG,ASMLINE,ASMTEAM,TESTERID,CELLID,TESTPGMVER,FAILEDHEAD,HDDCYCLE,RWKDISP,RWKDEPTH_MAX,RWKDEPTH_CUR,HSASN,DISKSETID,HDEPARTSETID,HDDPARTSETID,STORETS,DayDifference,TestTime
KZGNA9LE    ,2013-11-07 19:02:41,2013-11-07 08:18:23,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0646,000054,FET8.1DL,00000000,2,  ,2,2,A35H3EA0    ,3,2,1,2013-11-07 19:39:08,0,10.738
KZGNA80E    ,2013-11-07 18:51:42,2013-11-07 08:14:00,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000059,FET8.1DL,00000000,2,  ,2,2,A36QFL6W    ,2,1,1,2013-11-07 19:39:10,0,10.628
KZGNA7ZE    ,2013-11-08 04:48:38,2013-11-07 18:12:40,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000015,FET8.1DL,00000000,2,  ,2,2,A35VQMH6    ,2,1,1,2013-11-08 05:30:10,1,10.599
KZGNA7UE    ,2013-11-07 19:01:17,2013-11-07 08:18:29,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0646,000060,FET8.1DL,00000000,2,  ,2,2,A35VPZN1    ,2,1,1,2013-11-07 19:39:08,0,10.713
KZGNA7RE    ,2013-11-08 07:04:32,2013-11-07 20:06:26,9000,CEP8,CP1843    ,0000,00000080,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000030,FET8.1DL,00000000,2,  ,2,2,A35VPTVW    ,2,1,1,2013-11-08 07:44:37,1,10.968
KZGNA7PE    ,2013-11-07 18:51:40,2013-11-07 08:13:58,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000057,FET8.1DL,00000000,2,  ,2,2,A35H1ZAJ    ,2,1,1,2013-11-07 19:39:09,0,10.628
KZGNA7ME    ,2013-11-08 04:47:20,2013-11-07 18:12:37,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000012,FET8.1DL,00000000,2,  ,2,2,A35VPV00    ,2,1,1,2013-11-08 05:30:11,1,10.578
KZGNA7KE    ,2013-11-08 04:46:32,2013-11-07 18:13:15,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000049,FET8.1DL,00000000,2,  ,2,2,A35VPZQP    ,2,1,1,2013-11-08 05:30:09,1,10.554
KZGNA7JE    ,2013-11-07 18:53:09,2013-11-07 08:13:29,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000029,FET8.1DL,00000000,2,  ,2,2,A35VPZHB    ,2,1,1,2013-11-07 19:39:09,0,10.661
KZGNA7GE    ,2013-11-07 17:08:56,2013-11-07 06:21:40,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000007,FET8.1DL,00000000,2,  ,2,2,A35H3ELE    ,2,1,1,2013-11-07 17:39:10,0,10.788
KZGNA7EE    ,2013-11-07 17:11:40,2013-11-07 06:21:50,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0640,000017,FET8.1DL,00000000,2,  ,2,2,A35VQMKT    ,2,1,1,2013-11-07 17:39:08,0,10.831
KZGNA7DE    ,2013-11-07 18:52:40,2013-11-07 08:13:06,9000,CEP8,CP1843    ,0000,00000000,U516,B5QX,1030104040J1J1    10,   0  0,51,14,0642,000006,FET8.1DL,00000000,2,  ,2,2,A35VPTVT    ,2,1,1,2013-11-07 19:39:09,0,10.659
KZGNTZ3E    ,2013-11-07 19:01:55,2013-11-07 08:17:53,9000,CEP8,CP1843    ,0000,00000000,U517,B5QX,103010A0A0J1J1    10,   0  0,58,33,0646,000026,FET8.1DL,00000000,2,  ,2,2,A31NKQ9K    ,2,2,1,2013-11-07 19:39:09,0,10.734
